constituency,constituency_no,candidate,party,votes,vote_rank,derived_status,vote_margin,runner_up_votes,eci_code,source_url,scraped_at
ALANDUR,28,T.M.ANBARASAN,Dravida Munnetra Kazhagam,33329,2,Runner-up,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,S.SARAVANAN,All India Anna Dravida Munnetra Kazhagam,19806,3,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,Y.G.MAHALAKSHMI,Naam Tamilar Katchi,4865,4,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,J.AGNI SELVARASU,Naadaalum Makkal Katchi,88,8,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,ARAVIND CHANDRASEKAR,Indhu Dravida Makkal Katchi,21,19,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,B. KALYANARAMKUMAR,Naam Indiar Party,15,21,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,S.ROYAPPAN,Tamizhaga Vaazhvurimai Katchi,46,12,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,A.VELUSAMY,Puthiya Tamilagam,41,14,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,N.HARI KRISHNAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,140,7,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,M.HARISH,Tamilaga Vettri Kazhagam,50416,1,Leading / Top Candidate,17087,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,V.ANBARASAN,Independent,44,13,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
ALANDUR,28,A.SARAVANAN,Independent,29,16,Trailing,0,33329,S2228,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2228.htm,2026-05-04 15:27:16
