state,constituency,candidate,party,votes,status,margin,last_updated
Assam,Jalukbari,Himanta Biswa Sarma,BJP,85000,Leading,25000,2026-05-04 10:30:00
Assam,Sivasagar,Akhil Gogoi,Raijor Dal,62000,Leading,4500,2026-05-04 10:30:00
Assam,Dispur,Atul Bora,BJP,54000,Leading,900,2026-05-04 10:30:00
Assam,Dhubri,Nazrul Islam,INC,47000,Leading,600,2026-05-04 10:30:00
Assam,Barpeta,Phani Bhusan Choudhury,AGP,51000,Won,8000,2026-05-04 10:30:00
Tamil Nadu,Kolathur,MK Stalin,DMK,90000,Leading,15000,2026-05-04 10:30:00
Tamil Nadu,Coimbatore South,Vanathi Srinivasan,BJP,65000,Leading,700,2026-05-04 10:30:00
Tamil Nadu,Chepauk,Udhayanidhi Stalin,DMK,88000,Won,30000,2026-05-04 10:30:00
Kerala,Dharmadam,Pinarayi Vijayan,CPI(M),76000,Leading,12000,2026-05-04 10:30:00
Kerala,Thrissur,K Muraleedharan,INC,58000,Leading,500,2026-05-04 10:30:00
West Bengal,Bhabanipur,Mamata Banerjee,TMC,79000,Leading,3500,2026-05-04 10:30:00
West Bengal,Nandigram,Suvendu Adhikari,BJP,83000,Leading,2500,2026-05-04 10:30:00
Puducherry,Kamaraj Nagar,A John Kumar,BJP,28000,Won,4000,2026-05-04 10:30:00
Puducherry,Ozhukarai,M Sivasankar,AINRC,32000,Leading,850,2026-05-04 10:30:00
